id_aerogenerateur;nom_eolienne;id_parc;code_insee;nom_commune;code_dept;code_reg;puissance;hauteur_totale;hauteur_mat_nacelle;diametre_rotor;cote_ngf;periode_allumage;type_feu;constructeur;reference_modele;x_aerogenerateur;y_aerogenerateur;epsg;libelle;date_maj
0005108063_E21;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;87.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;763300.6;6950585.5;2154;Lambert-93;2024-10-23
0005108063_E22;;0005108063;02133;BUCY-LES-PIERREPONT;02;32;3.30;180.00;117.00;126.00;96.000;Jour et Nuit;Feux à éclats;VESTAS;V126-3.45MW;763086.8;6950896.5;2154;Lambert-93;2024-10-23
0010014441_E3;Eo3;0010014441;45018;AUXY;45;24;3.00;162.00;99.00;126.00;86.000;Jour et Nuit;Feux à éclats;ENERCON;E-126 EP3;662765.0;6778325.0;2154;Lambert-93;2023-07-21
0010014441_E4;Eo4;0010014441;45018;AUXY;45;24;3.00;162.00;99.00;126.00;90.000;Jour et Nuit;Feux à éclats;ENERCON;E-126 EP3;662992.0;6777874.0;2154;Lambert-93;2023-07-21
0010014441_E5;Eo5;0010014441;45041;BORDEAUX-EN-GATINAIS;45;24;3.00;162.00;99.00;126.00;93.000;Jour et Nuit;Feux à éclats;ENERCON;E-126 EP3;663238.0;6777425.0;2154;Lambert-93;2023-07-21
0010014441_E6;Eo6;0010014441;45041;BORDEAUX-EN-GATINAIS;45;24;3.00;162.00;99.00;126.00;91.000;Jour et Nuit;Feux à éclats;ENERCON;E-126 EP3;663481.0;6776974.0;2154;Lambert-93;2023-07-21
0005306836_E3;;0005306836;50135;CLITOURPS;50;28;0.66;64.00;40.00;47.00;120.000;Jour et Nuit;Feux à éclats;VESTAS;V47-660/200kW;383903.12;6958797.0;2154;Lambert-93;2023-07-21
0005306836_E2;;0005306836;50135;CLITOURPS;50;28;0.66;64.00;40.00;47.00;116.000;Jour et Nuit;Feux à éclats;VESTAS;V47-660/200kW;383689.9;6959131.5;2154;Lambert-93;2023-07-21
0005306836_E4;;0005306836;50135;CLITOURPS;50;28;0.66;64.00;40.00;47.00;120.000;Jour et Nuit;Feux à éclats;VESTAS;V47-660/200kW;384064.22;6958727.0;2154;Lambert-93;2023-07-21
0005306836_E5;;0005306836;50135;CLITOURPS;50;28;0.66;64.00;40.00;47.00;111.000;Jour et Nuit;Feux à éclats;VESTAS;V47-660/200kW;383305.8;6958255.0;2154;Lambert-93;2023-07-21
0010013201_E4;;0010013201;45009;ASCHERES LE MARCHE;45;24;3.00;142.40;86.00;117.00;125.100;Jour et Nuit;Feux à éclats;NORDEX;N117/3000 Controlled;625787.5;6777080.5;2154;Lambert-93;2024-10-23
0010013201_E3;;0010013201;45009;ASCHERES LE MARCHE;45;24;3.00;137.20;78.00;117.00;125.600;Jour et Nuit;Feux à éclats;NORDEX;N117/3000 Controlled;626282.0;6777409.0;2154;Lambert-93;2024-10-23
0010013201_E1;;0010013201;45009;ASCHERES LE MARCHE;45;24;3.00;142.40;86.00;117.00;123.200;Jour et Nuit;Feux fixes;NORDEX;N117/3000 Controlled;626828.0;6777236.0;2154;Lambert-93;2024-10-23
0003800736_E2;E02;0003800736;02426;LEVERGIES;02;32;3.60;178.00;122.00;117.00;125.000;Jour et Nuit;Feux à éclats;NORDEX;N117/3.6;721034.0;6982594.0;2154;Lambert-93;2024-10-23
0003800736_E1;E01;0003800736;02392;JONCOURT;02;32;3.60;164.00;108.00;117.00;144.000;Jour et Nuit;Feux à éclats;NORDEX;N117/3.6;721060.0;6983043.0;2154;Lambert-93;2024-10-23
0003800736_E3;E03;0003800736;02392;JONCOURT;02;32;3.60;164.00;108.00;117.00;135.000;Jour et Nuit;Feux à éclats;NORDEX;N117/3.6;721586.0;6983141.0;2154;Lambert-93;2024-10-23
